PLOT AREA,PLOT_ID,Resort,Playground,Fitness Centre,University,Theatre,School,Restaurant,Pub,Worship,Library,Kid,Hospital,Cafe,NGO,Government,Diplomatic,Coworking,Company,Viewpoint,Museum,Hotel,T_GH,Attraction,Artwork,TOTAL,X,Y
1836,114210,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6,3955036.293,4014852.264
1235,63455,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3955045.685,4014847.608
3094,182574,0,0,0,0,0,0,3,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,11,3955044.132,4014959.378
1854,117378,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,3955097.171,4014927.55
2868,156528,0,0,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,10,3955043.845,4014937.986
3723,221765,0,0,0,0,0,0,4,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,14,3955017.381,4014931.496
3718,287100,0,0,0,0,0,0,6,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,16,3954995.695,4014919.417
3380,261020,0,0,0,0,0,0,5,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,15,3954984.779,4014901.076
4290,339378,0,0,0,0,0,0,7,6,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,18,3954984.041,4014927.835
6318,352458,0,0,0,0,0,0,8,6,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,19,3954971.228,4014936.603
5544,365540,0,0,0,0,0,0,10,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,20,3954959.354,4014946.295
4899,300288,0,0,0,0,0,0,6,6,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,17,3954995.461,4014932.302
5720,339638,0,0,0,0,0,0,8,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,18,3954943.024,4014920.44
6032,387817,0,0,0,0,0,0,11,6,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,22,3954968.828,4014988.672
6720,374472,0,0,0,0,0,0,10,6,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,21,3954976.25,4014964.673
672,1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3951556.066,4011434.377
430,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3951469.172,4011475.222
2106,16902,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3951592.489,4012189.076
2717,20713,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3951711.567,4012160.271
2170,18870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3951806.229,4012196.592
2310,20801,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3951777.204,4012202.937
